Date,USD,BTC,SP500,GOLD
2025-07-29,98.91000366210938,117922.1484375,6370.85986328125,3323.39990234375
2025-07-30,99.94000244140624,117831.1875,6362.89990234375,3295.800048828125
2025-07-31,100.02999877929688,115758.203125,6339.39013671875,3293.199951171875
2025-08-01,98.69000244140624,113320.0859375,6238.009765625,3347.699951171875
2025-08-04,98.77999877929688,115071.8828125,6329.93994140625,3374.39990234375
2025-08-05,98.77999877929688,114141.4453125,6299.18994140625,3381.89990234375
2025-08-06,98.18000030517578,115028.0,6345.06005859375,3380.0
2025-08-07,98.4000015258789,117496.8984375,6340.0,3400.300048828125
2025-08-08,98.18000030517578,116688.7265625,6389.4501953125,3439.10009765625
2025-08-11,98.5199966430664,118731.4453125,6373.4501953125,3353.10009765625
2025-08-12,98.0999984741211,120172.90625,6445.759765625,3348.89990234375
2025-08-13,97.83999633789062,123344.0625,6466.580078125,3358.699951171875
2025-08-14,98.25,118359.578125,6468.5400390625,3335.199951171875
2025-08-15,97.8499984741211,117398.3515625,6449.7998046875,3336.0
2025-08-18,98.16999816894533,116252.3125,6449.14990234375,3331.699951171875
2025-08-19,98.2699966430664,112831.1796875,6411.3701171875,3313.39990234375
2025-08-20,98.22000122070312,114274.7421875,6395.77978515625,3343.39990234375
2025-08-21,98.62000274658205,112419.03125,6370.169921875,3336.89990234375
2025-08-22,97.72000122070312,116874.0859375,6466.91015625,3374.39990234375
2025-08-25,98.43000030517578,110124.3515625,6439.31982421875,3373.800048828125
2025-08-26,98.2300033569336,111802.65625,6465.93994140625,3388.60009765625
2025-08-27,98.2300033569336,111222.0625,6481.39990234375,3404.60009765625
2025-08-28,97.80999755859376,112544.8046875,6501.85986328125,3431.800048828125
2025-08-29,97.7699966430664,108410.8359375,6460.259765625,3473.699951171875
2025-09-02,98.4000015258789,111200.5859375,6415.5400390625,3549.39990234375
2025-09-03,98.13999938964844,111723.2109375,6448.259765625,3593.199951171875
2025-09-04,98.3499984741211,110723.6015625,6502.080078125,3565.800048828125
2025-09-05,97.7699966430664,110650.984375,6481.5,3613.199951171875
2025-09-08,97.4499969482422,112071.4296875,6495.14990234375,3638.10009765625
2025-09-09,97.79000091552734,111530.546875,6512.60986328125,3643.300048828125
2025-09-10,97.77999877929688,113955.359375,6532.0400390625,3643.60009765625
2025-09-11,97.54000091552734,115507.5390625,6587.47021484375,3636.89990234375
2025-09-12,97.5500030517578,116101.578125,6584.2900390625,3649.39990234375
2025-09-15,97.3000030517578,115444.875,6615.27978515625,3682.199951171875
2025-09-16,96.62999725341795,116843.1875,6606.759765625,3688.89990234375
2025-09-17,96.87000274658205,116468.5078125,6600.35009765625,3681.800048828125
2025-09-18,97.3499984741211,117137.203125,6631.9599609375,3643.699951171875
2025-09-19,97.63999938964844,115688.859375,6664.35986328125,3671.5
2025-09-22,97.33000183105467,112748.5078125,6693.75,3740.699951171875
2025-09-23,97.26000213623048,112014.5,6656.919921875,3780.60009765625
2025-09-24,97.87000274658205,113328.6328125,6637.97021484375,3732.10009765625
2025-09-25,98.5500030517578,109049.2890625,6604.72021484375,3736.89990234375
2025-09-26,98.1500015258789,109712.828125,6643.7001953125,3775.300048828125
2025-09-29,97.91000366210938,114400.3828125,6661.2099609375,3820.89990234375
2025-09-30,97.7699966430664,114056.0859375,6688.4599609375,3840.800048828125
2025-10-01,97.70999908447266,118648.9296875,6711.2001953125,3867.5
2025-10-02,97.8499984741211,120681.2578125,6715.35009765625,3839.699951171875
2025-10-03,97.72000122070312,122266.53125,6715.7900390625,3880.800048828125
2025-10-06,98.11000061035156,124752.53125,6740.27978515625,3948.5
2025-10-07,98.58000183105467,121451.3828125,6714.58984375,3976.60009765625
2025-10-08,98.8499984741211,123354.8671875,6753.72021484375,4043.300048828125
2025-10-09,99.54000091552734,121705.5859375,6735.10986328125,3946.300048828125
2025-10-10,98.9800033569336,113214.3671875,6552.509765625,3975.89990234375
2025-10-13,99.2699966430664,115271.078125,6654.72021484375,4108.60009765625
