event_id,event_date,label_start_date,label_end_date,label_horizon_trading_days,prediction_date,primary_category,q0_overall_intensity,q1_geo_macro_score,q2_disaster_disruption_score,q3_technology_adoption_score,q4_regulation_policy_score,raw_q0_overall_intensity,raw_q1_geo_macro_score,raw_q2_disaster_disruption_score,raw_q3_technology_adoption_score,raw_q4_regulation_policy_score,daily_event_count,daily_q0_sum,daily_q0_max,daily_q0_top2_gap,daily_relative_q0,event_attention_factor,pre_event_trend_magnitude,trend_dampening_factor,usd_return,gold_return,sp500_return,btc_return,usd_next_return,gold_next_return,sp500_next_return,btc_next_return,usd_excess_sp500_return,gold_excess_sp500_return,sp500_excess_sp500_return,btc_excess_sp500_return,usd_magnitude_bucket,gold_magnitude_bucket,sp500_magnitude_bucket,btc_magnitude_bucket,usd_up,gold_up,sp500_up,btc_up,target_bitstring_usd_gold_sp500_btc,split
EVT_0121,2025-09-24,2025-09-25,2025-10-01,5,2025-10-01,q3_technology_adoption,0.5290844396023126,0.0,0.0,0.4116498773651016,0.0,0.578375,0.0,0.0,0.45,0.0,2,1.291875,0.7135,0.13512500000000005,0.8106166783461808,0.9147775052557814,0.02019073733989038,1.0,-0.0016348590744772462,0.036279815332064924,0.01103198388944171,0.046945743039204624,0.0069479951577862,0.0012860868041868,-0.0050090613431266,-0.0377604815640906,-0.012666842963918956,0.025247831442623214,0.0,0.035913759149762914,flat,large_up,small_up,large_up,0,1,1,1,0111,train
EVT_0169,2025-09-24,2025-09-25,2025-10-01,5,2025-10-01,q4_regulation_policy,0.7135,0.0,0.0,0.0,0.4,0.7135,0.0,0.0,0.0,0.4,2,1.291875,0.7135,0.13512500000000005,1.0,1.0,0.02019073733989038,1.0,-0.0016348590744772462,0.036279815332064924,0.01103198388944171,0.046945743039204624,0.0069479951577862,0.0012860868041868,-0.0050090613431266,-0.0377604815640906,-0.012666842963918956,0.025247831442623214,0.0,0.035913759149762914,flat,large_up,small_up,large_up,0,1,1,1,0111,train
EVT_0047,2025-09-25,2025-09-26,2025-10-02,5,2025-10-02,q1_geo_macro,0.63425,0.5,0.0,0.0,0.0,0.63425,0.5,0.0,0.0,0.0,2,1.083,0.63425,0.1855,1.0,1.0,0.01420802519804765,1.0,-0.007103039634296593,0.02750944673782918,0.01675012403460574,0.1066670755032002,-0.0040588687315293,0.0102759366019653,0.0059018367471712,0.0060847628462732,-0.023853163668902333,0.01075932270322344,0.0,0.08991695146859446,small_down,large_up,large_up,large_up,0,1,1,1,0111,train
EVT_0069,2025-09-25,2025-09-26,2025-10-02,5,2025-10-02,q2_disaster_disruption,0.38968905202995663,0.0,-0.43419392983839183,0.0,0.0,0.44875,0.0,-0.5,0.0,0.0,2,1.083,0.63425,0.1855,0.7075285770595191,0.8683878596767837,0.01420802519804765,1.0,-0.007103039634296593,0.02750944673782918,0.01675012403460574,0.1066670755032002,-0.0040588687315293,0.0102759366019653,0.0059018367471712,0.0060847628462732,-0.023853163668902333,0.01075932270322344,0.0,0.08991695146859446,small_down,large_up,large_up,large_up,0,1,1,1,0111,train
EVT_0037,2025-09-26,2025-09-29,2025-10-03,5,2025-10-03,q1_geo_macro,0.56445,-0.42,0.0,0.0,0.0,0.56445,-0.42,0.0,0.0,0.0,1,0.56445,0.56445,0.56445,1.0,1.0,0.02807195780941025,1.0,-0.004381052455331602,0.027944798727387976,0.010850857448513995,0.11442329342469493,-0.0024452150793523,0.0120784713601187,0.0026355442163621,0.0427256754530043,-0.015231909903845597,0.01709394127887398,0.0,0.10357243597618093,small_down,large_up,small_up,large_up,0,1,1,1,0111,train
EVT_0122,2025-10-01,2025-10-02,2025-10-08,5,2025-10-08,q3_technology_adoption,0.5774571829011913,0.0,0.0,0.5629152067274001,0.0,0.6154999999999999,0.0,0.0,0.6,0.0,2,1.329,0.7135,0.09800000000000009,0.8626489138051856,0.9381920112123336,0.011462656924700027,1.0,0.011667172247774804,0.04545573337508113,0.006335680399006449,0.039662705027298406,0.0014328051474794,-0.0071881186368778,0.0006183547238911,0.0171289208453273,0.005331491848768355,0.03912005297607468,0.0,0.03332702462829196,small_up,large_up,small_up,large_up,1,1,1,1,1111,train
EVT_0170,2025-10-01,2025-10-02,2025-10-08,5,2025-10-08,q4_regulation_policy,0.7135,0.0,0.0,0.0,0.4,0.7135,0.0,0.0,0.0,0.4,2,1.329,0.7135,0.09800000000000009,1.0,1.0,0.011462656924700027,1.0,0.011667172247774804,0.04545573337508113,0.006335680399006449,0.039662705027298406,0.0014328051474794,-0.0071881186368778,0.0006183547238911,0.0171289208453273,0.005331491848768355,0.03912005297607468,0.0,0.03332702462829196,small_up,large_up,small_up,large_up,1,1,1,1,1111,train
EVT_0070,2025-10-02,2025-10-03,2025-10-09,5,2025-10-09,q2_disaster_disruption,0.44875,0.0,-0.5,0.0,0.0,0.44875,0.0,-0.5,0.0,0.0,1,0.44875,0.44875,0.44875,1.0,1.0,0.024181964668233524,1.0,0.01727135889381981,0.02776261140501779,0.0029424773597277465,0.008487880749399102,-0.0013285360801753,0.0107039868163933,6.551280273581206e-05,0.0131360367486641,0.014328881534092064,0.024820134045290043,0.0,0.005545403389671355,large_up,large_up,small_up,small_up,1,1,1,1,1111,train
EVT_0025,2025-10-03,2025-10-06,2025-10-10,5,2025-10-10,q1_geo_macro,0.5443312039790731,0.4083334724577335,0.0,0.0,0.0,0.599875,0.45,0.0,0.0,0.0,1,0.599875,0.599875,0.599875,1.0,1.0,0.03857141542965298,0.9074077165727411,0.01289400450768241,0.024505218593867673,-0.02431289133337655,-0.0740363202419716,0.0039909883828963,0.0174448439291063,0.0036465919796933,0.0203326288444123,0.03720689584105896,0.048818109927244224,0.0,-0.049723428908595046,small_up,large_up,large_down,large_down,1,1,0,0,1100,train
EVT_0123,2025-10-08,2025-10-09,2025-10-15,5,2025-10-15,q3_technology_adoption,0.6463835805255521,0.0,0.0,0.5678333064646139,0.0,0.6829999999999999,0.0,0.0,0.6,0.0,2,1.458375,0.775375,0.0923750000000001,0.8808640980170884,0.9463888441076899,0.02790611404701273,1.0,-0.0006069555844196994,0.03304228029140388,-0.01223920352346286,-0.10191493381360417,0.0069802979469635,-0.0239903046592135,-0.0027555704071953,-0.0133702162517275,0.011632247939043161,0.04528148381486674,0.0,-0.08967573029014131,flat,large_up,small_down,large_down,0,1,0,0,0100,train
